bid,bamount,bdate,kid_id,pid_id
1,5,2022-01-24,156,1
2,5,2022-01-24,11,1
3,5,2022-01-24,156,4
4,5,2022-01-24,11,9
5,5,2022-01-24,147,1
6,5,2022-01-24,147,8
7,5,2022-01-24,147,9
8,10,2022-01-24,14,8
9,10,2022-01-24,147,12
10,5,2022-01-24,84,8
11,5,2022-01-24,84,9
12,5,2022-01-24,156,10
13,10,2022-01-24,43,12
14,10,2022-01-24,14,12
15,5,2022-01-24,11,8
16,5,2022-01-25,146,12
17,5,2022-01-25,157,8
18,5,2022-01-25,157,4
19,5,2022-01-25,157,10
20,10,2022-01-25,157,12
21,5,2022-01-25,157,1
22,5,2022-01-25,158,4
23,5,2022-01-25,6,8
24,5,2022-01-25,146,8
25,5,2022-01-25,146,1
26,5,2022-01-25,6,1
27,5,2022-01-25,158,10
28,10,2022-01-25,81,1
29,5,2022-01-25,81,8
30,5,2022-01-25,146,9
31,5,2022-01-26,159,1
32,5,2022-01-26,159,8
33,5,2022-01-26,159,9
34,5,2022-01-26,159,10
35,20,2022-01-26,45,12
36,20,2022-01-26,45,8
37,20,2022-01-26,45,1
38,5,2022-01-26,159,12
39,5,2022-01-26,159,4
40,5,2022-01-26,149,9
41,20,2022-01-26,149,1
42,20,2022-01-26,75,1
43,5,2022-01-27,161,4
44,5,2022-01-27,161,12
45,20,2022-01-27,139,1
46,10,2022-01-27,139,12
47,5,2022-01-27,161,10
48,10,2022-01-28,162,4
49,10,2022-01-28,162,10
50,5,2022-01-28,162,12
51,5,2022-01-28,163,4
52,5,2022-01-28,163,10
53,5,2022-02-03,164,12
54,5,2022-02-03,165,10
55,10,2022-02-03,92,1
56,5,2022-02-03,165,12
57,20,2022-02-03,166,4
58,20,2022-02-03,166,10
59,5,2022-02-03,164,10
60,5,2022-02-03,164,4
61,5,2022-02-03,165,4
62,20,2022-02-04,129,12
63,5,2022-02-04,168,12
64,5,2022-02-04,168,10
65,5,2022-02-04,168,4
66,20,2022-02-04,129,8
67,20,2022-02-04,129,1
68,5,2022-02-04,169,4
69,5,2022-02-04,169,10
70,5,2022-02-04,169,12
71,20,2022-02-04,129,9
72,5,2022-02-07,168,4
73,5,2022-02-07,169,4
74,10,2022-02-07,42,12
75,5,2022-02-07,169,10
76,5,2022-02-07,169,12
77,20,2022-02-07,146,12
78,5,2022-02-07,168,10
79,5,2022-02-07,146,9
80,5,2022-02-07,146,8
81,20,2022-02-07,146,1
82,20,2022-02-07,129,12
83,5,2022-02-07,116,1
84,20,2022-02-07,129,9
85,20,2022-02-07,129,8
86,20,2022-02-07,129,1
87,5,2022-02-07,168,12
88,5,2022-02-08,170,4
89,5,2022-02-08,170,10
90,5,2022-02-08,170,12
91,5,2022-02-08,170,1
92,20,2022-02-08,166,1
93,10,2022-02-08,166,9
94,5,2022-02-08,166,8
95,20,2022-02-08,166,12
96,5,2022-02-09,173,4
97,5,2022-02-09,172,12
98,5,2022-02-09,172,10
99,5,2022-02-09,172,4
100,5,2022-02-09,171,4
101,5,2022-02-09,173,10
102,5,2022-02-09,171,10
103,5,2022-02-10,173,10
104,20,2022-02-10,55,12
105,5,2022-02-10,64,12
106,5,2022-02-10,64,9
107,5,2022-02-10,64,8
108,10,2022-02-10,55,1
109,5,2022-02-10,64,1
110,5,2022-02-10,173,4
111,20,2022-02-11,173,12
112,20,2022-02-11,173,1
113,5,2022-02-11,174,4
114,5,2022-02-11,174,10
115,5,2022-02-11,174,12
116,5,2022-02-14,90,1
117,10,2022-02-14,152,8
118,10,2022-02-14,112,9
119,5,2022-02-14,90,8
120,10,2022-02-14,152,1
121,10,2022-02-14,152,9
122,10,2022-02-14,156,12
123,10,2022-02-14,112,8
124,10,2022-02-14,112,1
125,10,2022-02-15,50,11
126,20,2022-02-15,150,9
127,10,2022-02-15,50,3
128,20,2022-02-15,50,12
129,10,2022-02-15,50,1
130,20,2022-02-15,150,1
131,5,2022-02-15,176,12
132,5,2022-02-15,176,10
133,5,2022-02-15,176,4
134,5,2022-02-15,175,10
135,5,2022-02-15,175,4
136,5,2022-02-16,177,4
137,20,2022-02-16,36,1
138,5,2022-02-16,124,9
139,5,2022-02-16,124,8
140,5,2022-02-16,177,10
141,5,2022-02-16,36,8
142,20,2022-02-17,134,12
143,5,2022-02-17,154,3
144,5,2022-02-17,154,1
145,5,2022-02-17,154,8
146,5,2022-02-17,154,9
147,5,2022-02-17,154,11
148,5,2022-02-17,154,12
149,20,2022-02-21,8,1
150,20,2022-02-21,128,1
151,5,2022-02-21,154,1
152,5,2022-02-21,154,3
153,5,2022-02-21,154,8
154,10,2022-02-21,75,8
155,20,2022-02-21,40,8
156,20,2022-02-21,40,1
157,20,2022-02-21,134,12
158,5,2022-02-21,154,11
159,20,2022-02-21,8,12
160,20,2022-02-21,8,9
161,20,2022-02-21,8,8
162,5,2022-02-21,154,12
163,5,2022-02-21,154,9
164,10,2022-02-22,14,4
165,10,2022-02-22,14,1
166,20,2022-02-22,158,9
167,20,2022-02-22,155,1
168,20,2022-02-22,158,1
169,20,2022-02-22,158,8
