pid,create_date,content,tag,pvurl,kid_id
105,2022-01-09 8:11,일반 세탁소와 K99 세탁소의 품질 비교,#실전사례,['https://video.band.us/service2/cOPsMSzL90sQ73WF5HvSUrhh85U0RLLswSE4Q8E4pCvQpc2qYlyvgvqw7DxRPGKyWFPxcMLv_vxLJCYOjRKT-n3-WJL9t_FWGrjU76M-iqB_2WIqN_ddLtlJWBhTlq6gGGR8I8RCHFzGrHcHun2tUx7r2OCZ4V5ySbCn9IOpAYPj2l_1CqN0uiAc4ub_u7kx4bX0gAU_05EnsscLgM9_eCzZGETxk23vYgZaXQTcww4tQ2huMUoChLWKhk5ldnEtPd949tyRGXu15T8ccs3IQA.mp4?auto_play=true'],
117,2022-01-10 10:22,"안녕하세요   장윤임 입니다 
제가  쓰고있는 탈취스프레이
활용법  공유해봅니다  에어와
연결해서 건조기 위에 올려놓고 
건조기   돌리면서  마무리  5분전  즈음 여러번   뿌려줍니다
호스끝에 스타킹 잘라 묶어 주시면
불순물이  유입됨을  방지합니다.",#실전사례,"['https://coresos-phinf.pstatic.net/a/342ch1/0_afbUd018svc181a3tciw72pw_u4k9wl.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342cdh/0_bfbUd018svci66vlon4rqn1_u4k9wl.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342cfd/0_bfbUd018svcd22uriwh7aph_u4k9wl.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342c5j/0_gfbUd018svc2e9i6qzpu3oy_u4k9wl.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342ci2/0_afbUd018svc12vohssvzx8do_u4k9wl.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342c5b/0_ffbUd018svc4eh67ka61jg7_u4k9wl.jpg?type=e1920_std']",42
152,2022-01-10 1:09,"용제 회수기 사용하시는분들을 위한 팁입니다. 회수돈 용제에서 잡냄새 잡는방법 입니다. 용제 회수통에 탈취제를 소주잔 한컵  부어보세요.
잡냄새 사라집니다.",#실전사례,[],80
173,2022-01-11 6:01,일반세탁 백퍼 이염 의류입니다. 하이브리드 단독 세탁 번거로워 저만의방법 올림니다 . 세탁전 사진 바빠서 못찍었습니다.  7/3 비율로 분무기에 항상 준비해 놓고 씁니다.  흰바탕에 검은배색 완전 이염 각입니다.검정 우레탄 부위에 분무후 건조기에 50도 5분돌 리고 타의류와 혼합해서 세탁 결과 입니다. 단독 건조는 아니고 타의류 건조때 잠깐 돌리시면 시간단축 됩니다  ...   하이브리드 응용 입니다 ,#실전사례,"['https://coresos-phinf.pstatic.net/a/342eec/0_6b3Ud018svc1twl9xumj4dd5_o40nu0.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342eea/0_6b3Ud018svc1bajfe25jqlie_o40nu0.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342eb3/0_7b3Ud018svc1eqekw9k2c4kp_o40nu0.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342eg7/0_7b3Ud018svc1kmgphibe4vzg_o40nu0.jpg?type=e1920_std']",92
174,2022-01-11 6:18,"지인 께서 가져온 사고 의류입니다. 기름 제거 하려 드라이 했답니다. 이것도 미리 사진 못찍었지만. 제봉선 주위 기름띠로 얼룩 져서 왔습니다 
물세탁 후 건조에서 수분잔류 상태에서 드라이 하면 털이 떡이됩니다 세제와 용제 가  털에서 계면활성제와 불안정하게 반응 해서 뭉쳐 방수의류기능까지더해 작업이 까다롭구요  이틀 작업했습니다. 방법은 비이온 으로 기름얼룩 주위로 바르고 세탁 후  식초바르고 세탁기 안에넣고 퇴근 다음날 원액 희석엑 바르고 표준코스로 세탁 했습니다 ",#실전사례,['https://coresos-phinf.pstatic.net/a/342eef/b_8b9Ud018svcrti91n1z0ink_o40nu0.jpg?type=e1920_std'],92
177,2022-01-13 10:59,"아스팔트타르 쉽게제거하시는대표님도계시겠지만 이번운동화가 집세탁하시다가 제거가안되니 물을잔득묻여와서 물어봤더니 비맞어서그랬다고 자세히보니 솔질한흔적이있어 짓굿게물어봤더니 아스팔트타르묻어 집세탁하다 제거가안돼서 가져오셔서
저는 집세탁후오는물품은 가격측정놀랍게 마니합니다 그만큼 힘들잖아요 K99스코어에이스 바른후 흰색y 담그고 남겨둔 가성소다액을이용 스팀솔로 문지르니 쉽게제거되네요 회원님들 저는 선물보다 공유해보고싶어 올려봅니다 ㅋ 대표님들도 많은공유 바랍니다",#실전사례,"['https://coresos-phinf.pstatic.net/a/342g65/i_ih4Ud018svckp4gl2l022bk_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342ga8/i_ih4Ud018svc1tqvw65qz15ex_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342gi4/i_ih4Ud018svcnko55odscry_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342g3h/i_jh4Ud018svcz4if6pdll844_ryd20r.jpg?type=e1920_std']",77
178,2022-01-13 1:11,이 영상은 흥복명품세탁 김재운회원님께서 보내온 것입니다.....저희가 편집해서 대신 올려드리게 되었습니다. 밴드에 영상이나 사진을 올리는 것에 애로가 있으신 분들은 사진이나 영상을 저희에게 주시면 이쁘게 편집해서 회원님 존함으로 밴드에 공유하겠습니다.,#실전사례,['https://video.band.us/service2/cOPsMSzL90sQ73WF5HvSUrhh85U0RLLswSE4Q8E4pCsuNTzsFUadVDMDFBLNaT_I2b9m-Q8IzIQnKj6gGSaSADWZYJ7PFlpIIrB3bLanwoF3EVVGUGL5tUd2dGwBIIaxMc-5Rh6jGMrJyC40F_6iSiJL2vf6nCHc282Kp85uWf-9d9x8cHXf3pTGG5vsjDzcy35TObjllLFExCNDr49szuVB9mgP1Q2TH4YT1EQVd3bA994buS8_jTfvk6VbcVeR2TKpgsNQ0na_FKAQ5aJMRQ.mp4?auto_play=true'],
180,2022-01-13 6:10,안녕하세요 오리털패딩 드라이해서 기름띠때문에 고생하시는분도계시고 제거방법도 가지각색이지요 저는오리털점퍼는 물로다하는데 테스트해보기위해 드라이해봤더니 역시 띠가생겼네요 그래서 K99스코어 에이스원액을 기름띠위에바르고 15분정도방치(더방치하고싶었지만 혹 색까짐 테스트을안해서)세탁기통속에 스코어에이스100cc 촉매제100cc 구연산세제150cc온도40도에서15분 본세했더니 요행인지 제거가됐네요기름띠가 보이나요 ㅋ,#실전사례,"['https://coresos-phinf.pstatic.net/a/342hhf/8_i57Ud018svcohqldot3s6wf_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342hg5/8_i57Ud018svc1m3pybiub55z4_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342h4g/a_d56Ud018svcpr9whrvvwv46_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342h50/a_d56Ud018svc1jwmv5772jfq0_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342hgj/a_e56Ud018svc7ic5au5b2iqc_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342hc7/a_e56Ud018svc1sg2s5hzuo1ae_ryd20r.jpg?type=e1920_std']",77
184,2022-01-14 11:06,습마찰개선제는 땀이나 습한 조건에서 마찰에 의해 염료가 묻어 나는 것을 방지하기 위해 개발 된 것으로 ...니트나 울의 물 세탁에서 섬유 수축 방지에도 효과가 있어서 2가지 용도로 활용되고 있습니다.,#질문답변,['https://coresos-phinf.pstatic.net/a/342ij5/d_146Ud018svc178bzonzmzz40_etd9ns.png?type=e1920_std'],
186,2022-01-14 1:15,"구연산 세제는 '건겅한 소재와 물질'로 세탁을 건강하게 해 보자라는 취지로 만든 것입니다....원래는 가죽 세탁용이나 색 빠짐이 심한 세탁물을 산성조건에서 사용할 용도입니다....K99 회원님들이 기름얼룩이나 레진이 들어간 얼룩(페인트, 유성잉크 등)에 효능이 좋다고 해서 여기저기 응용 범위가 넓어졌습니다.............구연산 세제 제조법 (100그램 기준) = 구연산 10그램 + 액체세제(종류무관하나 기름 제거용이면 스코어 에이스)25그램 + 담금소주 65그램을 희석해서 사용하고, 사용기한은 1년이내입니다.....구연산 세제 제조법 (1000그램 기준) = 구연산 100그램 + 액체세제(종류무관하나 기름 제거용이면 스코어 에이스)250그램 + 담금소주 650그램",#질문답변,[],
